fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
4,2026-08-04,passive_buy,0.0,0.0,7317,-inf,0.0020042367090338025,-0.009313926472598037,14.665000000000333
4,2026-08-04,passive_buy,0.0,0.25,3910,-inf,0.0004514066496163357,-0.010777493606138158,1.7649999999998727
4,2026-08-04,passive_buy,0.0,0.5,2475,-inf,0.0014828282828283927,-0.00964444444444436,3.6700000000002717
4,2026-08-04,passive_buy,0.0,1.0,817,-inf,0.0010342717258264354,-0.009583843329253156,0.8450000000001978
4,2026-08-04,passive_buy,0.3,0.0,5326,-0.0001762811455040065,0.0020991363124295732,-0.009091250469395438,11.179999999999907
4,2026-08-04,passive_buy,0.3,0.25,2837,-0.0001762811455040065,0.000560451180824711,-0.01052520267888628,1.589999999999705
4,2026-08-04,passive_buy,0.3,0.5,1758,-0.0001762811455040065,0.001524459613196867,-0.009431171786120551,2.680000000000092
4,2026-08-04,passive_buy,0.3,1.0,545,-0.0001762811455040065,0.0013211009174312687,-0.009266055045871371,0.7200000000000415
4,2026-08-04,passive_buy,0.5,0.0,4001,-4.908144876000223e-06,0.002244438890277453,-0.008827793051737013,8.98000000000009
4,2026-08-04,passive_buy,0.5,0.25,2151,-4.908144876000223e-06,0.0004951185495119133,-0.010478847047884612,1.0650000000001256
4,2026-08-04,passive_buy,0.5,0.5,1348,-4.908144876000223e-06,0.001769287833828055,-0.009072700296735745,2.3850000000002183
4,2026-08-04,passive_buy,0.5,1.0,413,-4.908144876000223e-06,0.0015133171912837748,-0.00900726392251752,0.625000000000199
4,2026-08-04,passive_buy,0.7,0.0,2786,0.00014280958882734654,0.0022290021536252006,-0.008754486719310865,6.209999999999809
4,2026-08-04,passive_buy,0.7,0.25,1531,0.00014280958882734654,0.0009013716525147397,-0.009986936642717043,1.3800000000000665
4,2026-08-04,passive_buy,0.7,0.5,984,0.00014280958882734654,0.002698170731707405,-0.008089430894308872,2.6550000000000864
4,2026-08-04,passive_buy,0.7,1.0,287,0.00014280958882734654,0.0020905923344956448,-0.008292682926828237,0.6000000000002501
4,2026-08-04,passive_buy,0.9,0.0,1114,0.0003856954550316157,0.004421005385996318,-0.006642728904847631,4.924999999999898
4,2026-08-04,passive_buy,0.9,0.25,591,0.0003856954550316157,0.0028510998307952904,-0.008155668358714032,1.6850000000000165
4,2026-08-04,passive_buy,0.9,0.5,383,0.0003856954550316157,0.006318537859007874,-0.0047519582245431746,2.420000000000016
4,2026-08-04,passive_buy,0.9,1.0,123,0.0003856954550316157,0.004227642276422963,-0.0065853658536582085,0.5200000000000244
4,2026-08-04,passive_sell,0.0,0.0,6494,-inf,0.0020927009547272966,-0.009206960271019575,13.589999999999065
4,2026-08-04,passive_sell,0.0,0.25,3250,-inf,0.0005738461538459905,-0.010526153846154056,1.864999999999469
4,2026-08-04,passive_sell,0.0,0.5,2117,-inf,3.306565895118863e-05,-0.010982522437411666,0.06999999999966633
4,2026-08-04,passive_sell,0.0,1.0,664,-inf,0.0018674698795182571,-0.00868975903614438,1.2400000000001228
4,2026-08-04,passive_sell,0.3,0.0,3330,-0.0001428095888273466,0.002678678678678453,-0.009018018018018261,8.919999999999249
4,2026-08-04,passive_sell,0.3,0.25,1552,-0.0001428095888273466,0.0016688144329894,-0.009864690721649787,2.5899999999995487
4,2026-08-04,passive_sell,0.3,0.5,984,-0.0001428095888273466,0.0009705284552842912,-0.010508130081301133,0.9549999999997425
4,2026-08-04,passive_sell,0.3,1.0,310,-0.0001428095888273466,0.0019354838709674028,-0.009258064516129413,0.5999999999998948
4,2026-08-04,passive_sell,0.5,0.0,2200,4.908144876000223e-06,0.002479545454545344,-0.009295454545454662,5.454999999999757
4,2026-08-04,passive_sell,0.5,0.25,1007,4.908144876000223e-06,0.0019860973187685632,-0.009632571996027808,1.9999999999999432
4,2026-08-04,passive_sell,0.5,0.5,612,4.908144876000223e-06,0.0015931372549019514,-0.010196078431372541,0.9749999999999943
4,2026-08-04,passive_sell,0.5,1.0,182,4.908144876000223e-06,0.0031043956043950455,-0.008351648351648836,0.5649999999998983
4,2026-08-04,passive_sell,0.7,0.0,1221,0.00017628114550400636,0.0011506961506961284,-0.010859950859950923,1.4049999999999727
4,2026-08-04,passive_sell,0.7,0.25,540,0.00017628114550400636,0.0010555555555556745,-0.01107407407407403,0.5700000000000642
4,2026-08-04,passive_sell,0.7,0.5,321,0.00017628114550400636,0.0009501557632400737,-0.011588785046728814,0.30500000000006366
4,2026-08-04,passive_sell,0.7,1.0,101,0.00017628114550400636,0.0038118811881182996,-0.008118811881188544,0.3849999999999483
4,2026-08-04,passive_sell,0.9,0.0,424,0.0004956185281788264,-0.0012617924528303148,-0.01283018867924536,-0.5350000000000534
4,2026-08-04,passive_sell,0.9,0.25,203,0.0004956185281788264,0.00022167487684708902,-0.011280788177340142,0.04499999999995907
4,2026-08-04,passive_sell,0.9,0.5,112,0.0004956185281788264,0.0028571428571426694,-0.008750000000000289,0.31999999999997897
4,2026-08-04,passive_sell,0.9,1.0,34,0.0004956185281788264,0.0004411764705874161,-0.011764705882353526,0.014999999999972147
5,2026-08-05,passive_buy,0.0,0.0,8208,-inf,0.003264498050682381,-0.009426169590643262,26.795000000000982
5,2026-08-05,passive_buy,0.0,0.25,3124,-inf,0.001230793854033404,-0.01165492957746478,3.845000000000354
5,2026-08-05,passive_buy,0.0,0.5,2000,-inf,0.001130000000000166,-0.011734999999999992,2.260000000000332
5,2026-08-05,passive_buy,0.0,1.0,656,-inf,0.0022789634146338283,-0.00986280487804943,1.4949999999997914
5,2026-08-05,passive_buy,0.3,0.0,5529,-0.00020384282991038895,0.0036335684572257262,-0.008676071622354805,20.09000000000104
5,2026-08-05,passive_buy,0.3,0.25,2158,-0.00020384282991038895,0.002113067655236588,-0.010393883225208421,4.5600000000005565
5,2026-08-05,passive_buy,0.3,0.5,1384,-0.00020384282991038895,0.001315028901734438,-0.011206647398843805,1.8200000000004621
